HONEST BOT BACKTEST DETAILED REPORT
===================================
Date: 2025-10-28
Total Predictions: 52
Correct Predictions: 29
Accuracy: 55.77%
Win Rate: 55.77%
Total P&L: ₹-4626.10

DETAILED TRADE RESULTS:
=======================
09:15 | NIFTY | BULLISH | Entry: 25986.85 | Actual: 25988.90 | P&L: 102.50 | ✅
13:00 | NIFTY | BEARISH | Entry: 25933.65 | Actual: 25919.00 | P&L: 732.50 | ✅
13:00 | SENSEX | BEARISH | Entry: 84576.69 | Actual: 84556.39 | P&L: 203.00 | ✅
13:15 | NIFTY | BULLISH | Entry: 25919.00 | Actual: 25938.90 | P&L: 995.00 | ✅
13:15 | SENSEX | BULLISH | Entry: 84556.39 | Actual: 84649.30 | P&L: 929.10 | ✅
13:30 | NIFTY | BULLISH | Entry: 25938.90 | Actual: 25897.35 | P&L: -2077.50 | ❌
13:30 | SENSEX | BULLISH | Entry: 84649.30 | Actual: 84477.63 | P&L: -1716.70 | ❌
13:45 | NIFTY | BULLISH | Entry: 25897.35 | Actual: 25894.25 | P&L: -155.00 | ❌
13:45 | SENSEX | BEARISH | Entry: 84477.63 | Actual: 84468.87 | P&L: 87.60 | ✅
14:00 | NIFTY | BULLISH | Entry: 25894.25 | Actual: 25873.20 | P&L: -1052.50 | ❌
14:00 | SENSEX | BEARISH | Entry: 84468.87 | Actual: 84409.30 | P&L: 595.70 | ✅
14:15 | NIFTY | BULLISH | Entry: 25873.20 | Actual: 25828.00 | P&L: -2260.00 | ❌
14:15 | SENSEX | BEARISH | Entry: 84409.30 | Actual: 84269.10 | P&L: 1402.00 | ✅
14:30 | NIFTY | BULLISH | Entry: 25828.00 | Actual: 25849.70 | P&L: 1085.00 | ✅
14:30 | SENSEX | BULLISH | Entry: 84269.10 | Actual: 84347.46 | P&L: 783.60 | ✅
14:45 | NIFTY | BEARISH | Entry: 25849.70 | Actual: 25885.60 | P&L: -1795.00 | ❌
14:45 | SENSEX | BULLISH | Entry: 84347.46 | Actual: 84462.71 | P&L: 1152.50 | ✅
15:00 | NIFTY | BEARISH | Entry: 25885.60 | Actual: 25949.90 | P&L: -3215.00 | ❌
15:00 | SENSEX | BULLISH | Entry: 84462.71 | Actual: 84572.22 | P&L: 1095.10 | ✅
15:15 | NIFTY | BEARISH | Entry: 25949.90 | Actual: 25938.63 | P&L: 563.50 | ✅
15:15 | SENSEX | BEARISH | Entry: 84572.22 | Actual: 84628.14 | P&L: -559.20 | ❌
15:30 | NIFTY | BEARISH | Entry: 25938.63 | Actual: 25938.63 | P&L: -0.00 | ❌
15:30 | SENSEX | BEARISH | Entry: 84628.14 | Actual: 84628.14 | P&L: -0.00 | ❌
