🚀 STARTING COMPREHENSIVE BACKTEST (Last 120 Days)...

📥 Fetching data for NIFTY50 (History needed for indicators)...
📊 Total Candles Fetched: 1302
🗓️ Data Range: 2025-09-05T09:15 to 2026-02-01T15:15
✅ [2025-10-06T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 47.1 | SL: 94.3 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2026-01-06T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 48.6 | SL: 97.3 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-07T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 42.1 | SL: 84.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-08T10:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 44.3 | SL: 88.6 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-09T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 55.0 | SL: 109.9 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-12T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 64.1 | SL: 128.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2026-01-16T10:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 62.0 | SL: 124.0 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2026-01-19T09:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 67.6 | SL: 135.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-20T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 55.4 | SL: 110.9 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-21T10:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 71.1 | SL: 142.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2026-01-23T13:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 72.9 | SL: 145.7 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2026-01-29T13:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 70.8 | SL: 141.5 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2026-02-01T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 124.2 | SL: 248.5 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
===========================================
🚀 120-DAY PERFORMANCE AUDIT: NIFTY50
===========================================
👀 Watchlist Opportunities: 0
🚀 Strong Signals (Tradeable): 73
✅ Wins: 45
❌ Losses: 23
🎯 REAL WIN RATE: 66.18%
💰 Total Points Captured: -13.73 pts
===========================================

📥 Fetching data for SENSEX (History needed for indicators)...
📊 Total Candles Fetched: 1302
🗓️ Data Range: 2025-09-05T09:15 to 2026-02-01T15:15
✅ [2025-10-06T09:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 158.1 | SL: 316.1 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-06T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 128.2 | SL: 256.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-07T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 132.2 | SL: 264.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-07T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 143.6 | SL: 287.2 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-08T12:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 176.8 | SL: 353.6 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-09T09:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 184.2 | SL: 368.4 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-09T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 179.1 | SL: 358.3 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-10T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 187.5 | SL: 375.1 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-10T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 162.0 | SL: 323.9 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-13T11:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 144.1 | SL: 288.2 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-13T14:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 162.2 | SL: 324.4 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-14T11:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 184.6 | SL: 369.2 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-14T15:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 207.4 | SL: 414.8 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-15T12:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 194.1 | SL: 388.2 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-16T09:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 178.3 | SL: 356.6 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-16T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 138.7 | SL: 277.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-17T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 180.8 | SL: 361.5 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-17T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 235.9 | SL: 471.7 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-20T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 196.7 | SL: 393.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-23T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 223.9 | SL: 447.8 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-23T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 244.1 | SL: 488.3 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-24T10:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 211.5 | SL: 423.1 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-24T13:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 226.1 | SL: 452.3 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-27T10:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 190.8 | SL: 381.5 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-27T14:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 168.6 | SL: 337.2 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-28T11:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 194.5 | SL: 389.1 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-10-29T10:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 225.0 | SL: 449.9 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-10-29T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 177.8 | SL: 355.7 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-10-30T10:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 165.0 | SL: 329.9 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-30T14:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 170.1 | SL: 340.2 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-31T11:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 186.0 | SL: 371.9 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-10-31T14:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 186.6 | SL: 373.1 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-11-03T11:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 158.9 | SL: 317.8 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-04T09:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 165.3 | SL: 330.5 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-04T12:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 129.0 | SL: 258.1 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-06T09:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 160.3 | SL: 320.6 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-06T13:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 167.7 | SL: 335.4 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-11-07T10:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 194.2 | SL: 388.4 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-11-07T13:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 214.6 | SL: 429.2 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-11-10T10:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 177.9 | SL: 355.8 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-11-10T14:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 144.5 | SL: 289.0 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-11-11T11:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 148.0 | SL: 296.0 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-11T14:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 172.2 | SL: 344.3 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-12T11:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 164.5 | SL: 329.1 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-12T15:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 143.2 | SL: 286.3 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-13T12:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 137.8 | SL: 275.5 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-11-14T10:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 204.3 | SL: 408.7 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
❌ [2025-11-14T13:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 225.9 | SL: 451.8 | Result: LOSS | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-17T10:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 194.2 | SL: 388.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-17T14:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 157.1 | SL: 314.2 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-11-18T11:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 141.3 | SL: 282.5 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-19T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 144.1 | SL: 288.3 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-19T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 139.2 | SL: 278.4 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-20T10:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 132.8 | SL: 265.6 | Result: WIN | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
❌ [2025-11-20T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 122.3 | SL: 244.6 | Result: LOSS | Reason: SENSEX: Momentum (Pr>20) + RSI>50 + ADX>20 [ML Optimized]
✅ [2025-11-24T09:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 156.8 | SL: 313.6 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-24T12:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 147.6 | SL: 295.1 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
✅ [2025-11-25T09:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 177.2 | SL: 354.3 | Result: WIN | Reason: SENSEX: Momentum (Pr<20) + RSI<50 + ADX>20 [ML Optimized]
